Sector,Weight,Ticker
Cash und/oder Derivate,0.0051735,IQQ0
Energie,0.0341993,IQQ0
Financials,0.1426006,IQQ0
Gesundheitsversorgung,0.1514192,IQQ0
IT,0.225526,IQQ0
Immobilien,0.0044052,IQQ0
Industrie,0.0765049,IQQ0
Kommunikation,0.1208712,IQQ0
Materialien,0.0094375,IQQ0
Nichtzyklische Konsumgüter,0.0963116,IQQ0
Versorger,0.0744703,IQQ0
Zyklische Konsumgüter,0.0590807,IQQ0
Cash und/oder Derivate,0.0018718,IBCK
Energie,0.0425332,IBCK
Financials,0.185816,IBCK
Gesundheitsversorgung,0.1510568,IBCK
IT,0.2813434,IBCK
Immobilien,0.0016272,IBCK
Industrie,0.0594639,IBCK
Kommunikation,0.061605099999999996,IBCK
Materialien,0.025014999999999996,IBCK
Nichtzyklische Konsumgüter,0.0974974,IBCK
Versorger,0.0266947,IBCK
Zyklische Konsumgüter,0.06547560000000001,IBCK
Cash und/oder Derivate,0.00026500000000000135,IUSC
Energie,0.0288934,IUSC
Financials,0.1351615,IUSC
Gesundheitsversorgung,0.0968856,IUSC
IT,0.3372681,IUSC
Immobilien,0.0180718,IUSC
Industrie,0.0833839,IUSC
Kommunikation,0.1058806,IUSC
Materialien,0.0189036,IUSC
Nichtzyklische Konsumgüter,0.0469942,IUSC
Versorger,0.0218453,IUSC
Zyklische Konsumgüter,0.1064454,IUSC
Cash und/oder Derivate,0.0011155999999999998,DAXEX
Financials,0.2036929,DAXEX
Gesundheitsversorgung,0.061696100000000004,DAXEX
IT,0.1556557,DAXEX
Immobilien,0.0104056,DAXEX
Industrie,0.33633060000000004,DAXEX
Kommunikation,0.0595041,DAXEX
Materialien,0.0440136,DAXEX
Nichtzyklische Konsumgüter,0.0107122,DAXEX
Versorger,0.0395843,DAXEX
Zyklische Konsumgüter,0.0772893,DAXEX
Cash und/oder Derivate,0.0116692,EUNY
Energie,0.2222288,EUNY
Financials,0.3042417,EUNY
IT,0.0359746,EUNY
Immobilien,0.0139214,EUNY
Industrie,0.0803559,EUNY
Kommunikation,0.0087762,EUNY
Materialien,0.17952220000000002,EUNY
Nichtzyklische Konsumgüter,0.0163008,EUNY
Versorger,0.0998241,EUNY
Zyklische Konsumgüter,0.0271853,EUNY
Cash und/oder Derivate,0.00607,IUSK
Financials,0.2518056,IUSK
Gesundheitsversorgung,0.1369316,IUSK
IT,0.0924302,IUSK
Immobilien,0.0091235,IUSK
Industrie,0.1902148,IUSK
Kommunikation,0.036991,IUSK
Materialien,0.0523709,IUSK
Nichtzyklische Konsumgüter,0.0974786,IUSK
Versorger,0.039677500000000004,IUSK
Zyklische Konsumgüter,0.08690629999999999,IUSK
Cash und/oder Derivate,0.0031428000000000003,IUSL
Energie,0.0295149,IUSL
Financials,0.2107962,IUSL
Gesundheitsversorgung,0.1301193,IUSL
IT,0.3050577,IUSL
Immobilien,0.0278867,IUSL
Industrie,0.1125834,IUSL
Kommunikation,0.033520799999999996,IUSL
Materialien,0.0559158,IUSL
Nichtzyklische Konsumgüter,0.022785,IUSL
Versorger,0.0287987,IUSL
Zyklische Konsumgüter,0.0398791,IUSL
Cash und/oder Derivate,0.0020171,EXI2
Energie,0.0329359,EXI2
Financials,0.0893477,EXI2
Gesundheitsversorgung,0.11908339999999999,EXI2
IT,0.407448,EXI2
Industrie,0.019934,EXI2
Kommunikation,0.13848860000000002,EXI2
Materialien,0.0066411,EXI2
Nichtzyklische Konsumgüter,0.045725,EXI2
Zyklische Konsumgüter,0.138379,EXI2
Cash und/oder Derivate,0.0034834,EXSI
Energie,0.0327859,EXSI
Financials,0.2547986,EXSI
Gesundheitsversorgung,0.0657536,EXSI
IT,0.120408,EXSI
Immobilien,0.0099598,EXSI
Industrie,0.214369,EXSI
Kommunikation,0.0362635,EXSI
Materialien,0.0408998,EXSI
Nichtzyklische Konsumgüter,0.0512148,EXSI
Versorger,0.0641227,EXSI
Zyklische Konsumgüter,0.1059407,EXSI
Cash und/oder Derivate,0.0037729000000000005,EUN2
Energie,0.0346593,EUN2
Financials,0.260647,EUN2
Gesundheitsversorgung,0.0608527,EUN2
IT,0.15287509999999999,EUN2
Industrie,0.2166881,EUN2
Kommunikation,0.0231982,EUN2
Materialien,0.030193499999999998,EUN2
Nichtzyklische Konsumgüter,0.0521412,EUN2
Versorger,0.043798000000000004,EUN2
Zyklische Konsumgüter,0.1211742,EUN2
Cash und/oder Derivate,0.0021683,EXW1
Energie,0.034711,EXW1
Financials,0.2610907,EXW1
Gesundheitsversorgung,0.060980000000000006,EXW1
IT,0.1531227,EXW1
Industrie,0.2169915,EXW1
Kommunikation,0.0232349,EXW1
Materialien,0.030237399999999998,EXW1
Nichtzyklische Konsumgüter,0.052196,EXW1
Versorger,0.0438617,EXW1
Zyklische Konsumgüter,0.1214064,EXW1
Cash und/oder Derivate,0.0061954,EXX1
Financials,0.9938045,EXX1
Cash und/oder Derivate,0.0079662,IQQA
Energie,0.055177699999999996,IQQA
Financials,0.5228615,IQQA
Gesundheitsversorgung,0.0133625,IQQA
Industrie,0.0856651,IQQA
Kommunikation,0.054966600000000004,IQQA
Nichtzyklische Konsumgüter,0.0392461,IQQA
Versorger,0.11071389999999999,IQQA
Zyklische Konsumgüter,0.1100405,IQQA
Cash und/oder Derivate,0.0055784,IUSZ
Energie,0.087365,IUSZ
Financials,0.2608328,IUSZ
Gesundheitsversorgung,0.1386566,IUSZ
IT,0.0097333,IUSZ
Immobilien,0.0094654,IUSZ
Industrie,0.1578423,IUSZ
Kommunikation,0.0215249,IUSZ
Materialien,0.0711572,IUSZ
Nichtzyklische Konsumgüter,0.1443047,IUSZ
Versorger,0.0451229,IUSZ
Zyklische Konsumgüter,0.048416999999999995,IUSZ
Cash und/oder Derivate,0.0061110999999999995,IQQC
Energie,0.043646,IQQC
Financials,0.3112012,IQQC
Gesundheitsversorgung,0.023174300000000002,IQQC
IT,0.06898409999999999,IQQC
Immobilien,0.009056999999999999,IQQC
Industrie,0.0177731,IQQC
Kommunikation,0.1873358,IQQC
Materialien,0.043012800000000004,IQQC
Nichtzyklische Konsumgüter,0.009016999999999999,IQQC
Versorger,0.0033442,IQQC
Zyklische Konsumgüter,0.2773434,IQQC
Cash und/oder Derivate,0.007091,IQQD
Energie,0.07379899999999999,IQQD
Financials,0.3751599,IQQD
Gesundheitsversorgung,0.0384589,IQQD
Immobilien,0.08187929999999999,IQQD
Kommunikation,0.0518674,IQQD
Materialien,0.0764411,IQQD
Nichtzyklische Konsumgüter,0.1252548,IQQD
Versorger,0.1128119,IQQD
Zyklische Konsumgüter,0.057236800000000004,IQQD
Cash und/oder Derivate,0.0054294,IQQI
Energie,0.1469509,IQQI
Financials,0.0002358,IQQI
IT,0.0021456,IQQI
Immobilien,0.0461872,IQQI
Industrie,0.21480670000000002,IQQI
Kommunikation,0.0173307,IQQI
Versorger,0.5669134,IQQI
Cash und/oder Derivate,0.0006956999999999999,EXS3
Financials,0.0721315,EXS3
Gesundheitsversorgung,0.0497004,EXS3
IT,0.0839296,EXS3
Immobilien,0.0644064,EXS3
Industrie,0.3618393,EXS3
Kommunikation,0.07871510000000001,EXS3
Materialien,0.1139555,EXS3
Nichtzyklische Konsumgüter,0.0068147,EXS3
Zyklische Konsumgüter,0.1678118,EXS3
Cash und/oder Derivate,0.0053314,IQQF
Energie,0.013248000000000001,IQQF
Financials,0.2203576,IQQF
Gesundheitsversorgung,0.0267402,IQQF
IT,0.36560170000000003,IQQF
Immobilien,0.0183673,IQQF
Industrie,0.067483,IQQF
Kommunikation,0.1036686,IQQF
Materialien,0.0250872,IQQF
Nichtzyklische Konsumgüter,0.017283200000000002,IQQF
Versorger,0.0151478,IQQF
Zyklische Konsumgüter,0.1216843,IQQF
Cash und/oder Derivate,0.0040286,IUSQ
Energie,0.0313547,IUSQ
Financials,0.1951976,IUSQ
Gesundheitsversorgung,0.08942649999999999,IUSQ
IT,0.2653857,IUSQ
