Location,Weight,Ticker,ISIN,TER
--,0.0,IQQ0,IE00B8FHGS14,0.3
Australien,0.003306,IQQ0,IE00B8FHGS14,0.3
Belgien,0.0050149999999999995,IQQ0,IE00B8FHGS14,0.3
Deutschland,0.0247143,IQQ0,IE00B8FHGS14,0.3
Dänemark,0.0011147,IQQ0,IE00B8FHGS14,0.3
Europäische Union,0.000453,IQQ0,IE00B8FHGS14,0.3
Finnland,0.0084975,IQQ0,IE00B8FHGS14,0.3
Frankreich,0.0223473,IQQ0,IE00B8FHGS14,0.3
Hongkong,0.0156055,IQQ0,IE00B8FHGS14,0.3
Irland,0.0027339,IQQ0,IE00B8FHGS14,0.3
Israel,0.0083838,IQQ0,IE00B8FHGS14,0.3
Italien,0.0059408,IQQ0,IE00B8FHGS14,0.3
Japan,0.1062384,IQQ0,IE00B8FHGS14,0.3
Kanada,0.0367641,IQQ0,IE00B8FHGS14,0.3
Neuseeland,0.0012364000000000001,IQQ0,IE00B8FHGS14,0.3
Niederlande,0.0108356,IQQ0,IE00B8FHGS14,0.3
Norwegen,0.0,IQQ0,IE00B8FHGS14,0.3
Portugal,0.0005758,IQQ0,IE00B8FHGS14,0.3
Schweden,0.0013239,IQQ0,IE00B8FHGS14,0.3
Schweiz,0.0373695,IQQ0,IE00B8FHGS14,0.3
Singapur,0.012620000000000001,IQQ0,IE00B8FHGS14,0.3
Spanien,0.0112078,IQQ0,IE00B8FHGS14,0.3
Vereinigte Staaten,0.6716257,IQQ0,IE00B8FHGS14,0.3
Vereinigtes Königreich,0.0115334,IQQ0,IE00B8FHGS14,0.3
Österreich,0.0005576,IQQ0,IE00B8FHGS14,0.3
--,0.0,IBCK,IE00B6SPMN59,0.2
Europäische Union,5.3e-05,IBCK,IE00B6SPMN59,0.2
Irland,0.0001185,IBCK,IE00B6SPMN59,0.2
Vereinigte Staaten,0.9997933,IBCK,IE00B6SPMN59,0.2
Vereinigtes Königreich,3.5300000000000004e-05,IBCK,IE00B6SPMN59,0.2
--,0.0,IUSC,IE00B27YCK28,0.2
Europäische Union,3.1e-06,IUSC,IE00B27YCK28,0.2
Irland,0.0058838,IUSC,IE00B27YCK28,0.2
Schweiz,-0.008797999999999999,IUSC,IE00B27YCK28,0.2
Vereinigte Staaten,1.0028965,IUSC,IE00B27YCK28,0.2
Vereinigtes Königreich,1.3e-05,IUSC,IE00B27YCK28,0.2
--,0.0,DAXEX,DE0005933931,0.16
Deutschland,0.9277193,DAXEX,DE0005933931,0.16
Europäische Union,0.0008498999999999999,DAXEX,DE0005933931,0.16
Frankreich,0.0711651,DAXEX,DE0005933931,0.16
Vereinigte Staaten,0.0002657,DAXEX,DE0005933931,0.16
--,0.0,EUNY,IE00B652H904,0.65
Brasilien,0.2518104,EUNY,IE00B652H904,0.65
Chile,0.013938299999999999,EUNY,IE00B652H904,0.65
China,0.2187129,EUNY,IE00B652H904,0.65
Europäische Union,-4.4000000000000006e-05,EUNY,IE00B652H904,0.65
Griechenland,0.012734,EUNY,IE00B652H904,0.65
Hongkong,0.017065300000000002,EUNY,IE00B652H904,0.65
Indien,0.0527927,EUNY,IE00B652H904,0.65
Indonesien,0.0980051,EUNY,IE00B652H904,0.65
Kolumbien,0.0201145,EUNY,IE00B652H904,0.65
Korea,3.84e-05,EUNY,IE00B652H904,0.65
Kuwait,0.0025552000000000005,EUNY,IE00B652H904,0.65
Luxemburg,0.0111687,EUNY,IE00B652H904,0.65
Malaysia,0.0185431,EUNY,IE00B652H904,0.65
Mexiko,0.012687299999999999,EUNY,IE00B652H904,0.65
Philippinen,1.93e-05,EUNY,IE00B652H904,0.65
Polen,0.0755508,EUNY,IE00B652H904,0.65
Qatar,0.0052252,EUNY,IE00B652H904,0.65
Russland,2.8800000000000002e-05,EUNY,IE00B652H904,0.65
Singapur,7.5e-06,EUNY,IE00B652H904,0.65
Südafrika,0.0426319,EUNY,IE00B652H904,0.65
Taiwan,0.0598674,EUNY,IE00B652H904,0.65
Thailand,0.0288735,EUNY,IE00B652H904,0.65
Tschechien,0.028446700000000002,EUNY,IE00B652H904,0.65
Türkei,0.0094103,EUNY,IE00B652H904,0.65
Ver. Arabische Emirate,0.0123241,EUNY,IE00B652H904,0.65
Vereinigte Staaten,0.007463999999999999,EUNY,IE00B652H904,0.65
Vereinigtes Königreich,2.74e-05,EUNY,IE00B652H904,0.65
Ägypten,1.4e-06,EUNY,IE00B652H904,0.65
Belgien,0.0294564,IUSK,IE00B52VJ196,0.2
Deutschland,0.0893438,IUSK,IE00B52VJ196,0.2
Dänemark,0.1055806,IUSK,IE00B52VJ196,0.2
Europäische Union,0.0037584,IUSK,IE00B52VJ196,0.2
Finnland,0.0353385,IUSK,IE00B52VJ196,0.2
Frankreich,0.1845658,IUSK,IE00B52VJ196,0.2
Irland,0.004890599999999999,IUSK,IE00B52VJ196,0.2
Italien,0.0269906,IUSK,IE00B52VJ196,0.2
Niederlande,0.13117030000000002,IUSK,IE00B52VJ196,0.2
Norwegen,0.0180571,IUSK,IE00B52VJ196,0.2
Portugal,0.0024998,IUSK,IE00B52VJ196,0.2
Schweden,0.0485321,IUSK,IE00B52VJ196,0.2
Schweiz,0.1769219,IUSK,IE00B52VJ196,0.2
Spanien,0.0214625,IUSK,IE00B52VJ196,0.2
Vereinigte Staaten,0.0001956,IUSK,IE00B52VJ196,0.2
Vereinigtes Königreich,0.11855199999999999,IUSK,IE00B52VJ196,0.2
Österreich,0.002684,IUSK,IE00B52VJ196,0.2
--,0.0,IUSL,IE00B57X3V84,0.6
Australien,0.026671,IUSL,IE00B57X3V84,0.6
Belgien,0.0017705999999999998,IUSL,IE00B57X3V84,0.6
Brasilien,0.0074621999999999996,IUSL,IE00B57X3V84,0.6
Chile,0.0009503,IUSL,IE00B57X3V84,0.6
China,0.031307999999999996,IUSL,IE00B57X3V84,0.6
Deutschland,0.0388751,IUSL,IE00B57X3V84,0.6
Dänemark,0.001323,IUSL,IE00B57X3V84,0.6
Europäische Union,0.0005791,IUSL,IE00B57X3V84,0.6
Finnland,0.0055726,IUSL,IE00B57X3V84,0.6
Frankreich,0.0351454,IUSL,IE00B57X3V84,0.6
Griechenland,0.0002396,IUSL,IE00B57X3V84,0.6
Hongkong,0.007069000000000001,IUSL,IE00B57X3V84,0.6
Indien,0.014769000000000001,IUSL,IE00B57X3V84,0.6
Indonesien,0.0007241999999999999,IUSL,IE00B57X3V84,0.6
Israel,1.0000000000000001e-07,IUSL,IE00B57X3V84,0.6
Italien,0.0165905,IUSL,IE00B57X3V84,0.6
Japan,0.0803966,IUSL,IE00B57X3V84,0.6
Kanada,0.032552000000000005,IUSL,IE00B57X3V84,0.6
Kolumbien,0.0004395,IUSL,IE00B57X3V84,0.6
Korea,0.0200215,IUSL,IE00B57X3V84,0.6
Malaysia,0.0009289000000000001,IUSL,IE00B57X3V84,0.6
Mexiko,0.0040717,IUSL,IE00B57X3V84,0.6
Neuseeland,0.00103,IUSL,IE00B57X3V84,0.6
Niederlande,0.026173799999999997,IUSL,IE00B57X3V84,0.6
