,ISIN,TER%
0,IE00B5BMR087,0.07
1,IE00B4L5Y983,0.2
2,IE00B52MJD48,0.48
3,DE000A0H08D2,0.51
4,IE00BKM4GZ66,0.18
5,IE00B6R52259,0.2
6,IE00B53SZB19,0.3
7,IE0031442068,0.07
8,IE00BFNM3G45,0.07
9,IE00BHZPJ890,0.07
10,IE00B3WJKG14,0.15
11,IE00B4K48X80,0.12
12,IE0005042456,0.07
13,IE00BMTX1Y45,0.05
14,IE00B1YZSC51,0.12
15,DE0002635307,0.2
16,IE00B0M62Q58,0.5
17,DE0005933931,0.16
18,DE0005933956,0.09
19,IE00BHZPJ908,0.07
20,IE00B3ZW0K18,0.2
21,IE00BHZPJ239,0.18
22,IE00B0M63177,0.18
23,IE00BF4RFH31,0.35
24,IE00B4L5YX21,0.12
25,IE00B53L3W79,0.1
26,IE00B4L5YC18,0.18
27,IE00BYX2JD69,0.2
28,IE00B53QG562,0.12
29,DE000A0F5UF5,0.3
30,IE00BFNM3P36,0.18
31,IE00BZCQB185,0.65
32,IE00B5L8K969,0.2
33,IE00BFNM3J75,0.2
34,IE00BHZPJ569,0.2
35,IE0008471009,0.1
36,IE00BP3QZB59,0.25
37,IE00B441G979,0.55
38,IE00B6R52036,0.55
39,IE00BFNM3D14,0.12
40,IE00BP3QZ601,0.25
41,IE00BJ5JPG56,0.28
42,IE00BHZPJ676,0.12
43,IE00BMG6Z448,0.18
44,IE000MLMNYS0,0.15
45,DE000A0F5UH1,0.46
46,IE00BP3QZ825,0.25
47,IE00BYZK4552,0.4
48,DE000A0F5UJ7,0.47
49,IE00BYVJRP78,0.25
50,IE00B52MJY50,0.2
51,DE000A0Q4R85,0.31
52,IE00B52SFT06,0.03
53,IE0002W8NB38,0.05
54,IE00BYVJRR92,0.2
55,IE00B52VJ196,0.2
56,IE00BD1F4M44,0.2
57,DE000A0D8Q07,0.2
58,IE00B43HR379,0.15
59,IE00B53HP851,0.07
60,IE00B1XNHC34,0.65
61,IE00B8FHGS14,0.3
62,DE0006289382,0.51
63,IE00BHZPJ015,0.12
64,IE00B4JNQZ49,0.15
65,IE000NFR7C63,0.45
66,DE0006289309,0.52
67,IE00B1TXK627,0.65
68,IE00BQT3WG13,0.4
69,DE0005933923,0.51
70,IE00BQN1K901,0.25
71,IE000D3BWBR2,0.05
72,IE00B3VWM098,0.43
73,IE000R4ZNTN3,0.15
74,IE00BMW42306,0.18
75,IE00B2QWCY14,0.3
76,IE00B57X3V84,0.6
77,IE00BFNM3L97,0.15
78,IE00B02KXH56,0.12
79,IE00B1FZS467,0.65
80,IE00BHZPJ783,0.12
81,IE00BDZZTM54,0.2
82,IE00BD3RYZ16,0.1
83,IE000I8KRLL9,0.35
84,IE000U7L59A3,0.1
85,IE00BYVQ9F29,0.33
86,IE00B53L4350,0.33
87,IE00B52SF786,0.48
88,IE00BD1F4L37,0.2
89,IE00BG0J4C88,0.4
90,IE00BFNM3H51,0.07
91,IE00BKBF6H24,0.3
92,IE00BD45KH83,0.18
93,IE00B6SPMN59,0.2
94,IE00BMW42181,0.18
95,IE00BFNM3B99,0.12
96,IE00BHZPJ452,0.15
97,IE00BFNM3N12,0.18
98,IE000MAO75G5,0.12
99,IE00B1TXHL60,0.75
100,IE00BYYHSQ67,0.38
101,IE00B14X4M10,0.4
102,IE00B14X4N27,0.4
103,IE00BL6K8D99,0.15
104,IE000U9ODG19,0.35
105,IE00B27YCK28,0.2
106,IE00B0M62S72,0.4
107,IE000D8XC064,0.3
108,IE0009VWHAE6,0.2
109,IE00B53QDK08,0.12
110,IE00BG11HV38,0.2
111,IE00B02KXK85,0.74
112,IE00BFNM3K80,0.2
113,IE00B0M63060,0.4
114,IE00B652H904,0.65
115,IE00B0M63730,0.74
116,IE00BJ5JNY98,0.18
117,IE00BHZPJ122,0.18
118,IE00BDDRF478,0.15
119,IE00074JV7J1,0.2
120,IE00BYZK4776,0.4
121,IE00BG0SKF03,0.4
122,IE00BMW42520,0.18
123,IE00B42Z5J44,0.64
124,IE00BD3V0B10,0.35
125,IE00B27YCN58,0.3
126,IE00B3VWMM18,0.58
127,IE000G2LIHG9,0.1
128,IE00BYYHSM20,0.28
129,DE000A0H08F7,0.46
130,IE00BYXG2H39,0.35
